Month,sales
10-Oct,"1,112.20"
11-Oct,"3,142.30"
12-Oct,"2,331.60"
13-Oct,"6,003.20"
14-Oct,"2,452.20"
15-Oct,857.6
16-Oct,"3,966.40"
17-Oct,864.3
18-Oct,"1,909.50"
19-Oct,730.3
20-Oct,227.8
21-Oct,"2,425.40"
22-Oct,"2,432.10"
23-Oct,877.7
24-Oct,"1,051.90"
25-Oct,"1,701.80"
26-Oct,"1,782.20"
27-Oct,"5,246.10"
28-Oct,201
29-Oct,683.4
30-Oct,"1,038.50"
31-Oct,"2,626.40"
1-Nov,"2,579.50"
2-Nov,"2,391.90"
3-Nov,"1,996.60"
4-Nov,"2,860.90"
5-Nov,167.5
6-Nov,"3,463.90"
7-Nov,"1,018.40"
8-Nov,"1,078.70"
9-Nov,911.2
10-Nov,194.3
11-Nov,"2,921.20"
12-Nov,"3,959.70"
13-Nov,"1,132.30"
14-Nov,"1,011.70"
15-Nov,984.9
16-Nov,"3,772.10"
17-Nov,"1,132.30"
18-Nov,931.3
19-Nov,871
20-Nov,"2,432.10"
21-Nov,723.6
22-Nov,"1,139.00"
23-Nov,"3,229.40"
24-Nov,"1,936.30"
25-Nov,757.1
26-Nov,897.8
27-Nov,"1,038.50"
28-Nov,"1,112.20"
29-Nov,837.5
30-Nov,"3,470.60"
1-Dec,"3,959.70"
2-Dec,"3,832.40"
3-Dec,"1,018.40"
4-Dec,"2,894.40"
5-Dec,180.9
6-Dec,"3,906.10"
7-Dec,"6,123.80"
8-Dec,"1,989.90"
9-Dec,"2,318.20"
10-Dec,676.7
11-Dec,"1,078.70"
12-Dec,"3,865.90"
13-Dec,951.4
14-Dec,"5,065.20"
15-Dec,"1,286.40"
16-Dec,187.6
17-Dec,"1,802.30"
18-Dec,"3,993.20"
19-Dec,"2,586.20"
20-Dec,"1,005.00"
21-Dec,"1,742.00"
22-Dec,911.2
23-Dec,201
24-Dec,"2,921.20"
25-Dec,"5,788.80"
26-Dec,"1,105.50"
27-Dec,"1,721.90"
28-Dec,"5,554.30"
29-Dec,"3,906.10"
30-Dec,"3,852.50"
31-Dec,234.5
