Month,sales
13-Dec,951.40
14-Dec,5065.20
15-Dec,1286.40
16-Dec,187.60
17-Dec,1802.30
18-Dec,3993.20
19-Dec,2586.20
20-Dec,1005.00
21-Dec,1742.00
22-Dec,911.20
23-Dec,201.00
24-Dec,2921.20
25-Dec,5788.80
26-Dec,1105.50
27-Dec,1721.90
28-Dec,5554.30
29-Dec,3906.10
30-Dec,3852.50
31-Dec,234.50
