OrderNumber,OrderDate,WarehouseCode,Sales Channel,StoreID,SalesTeamID,CustomerID,ProductID,Order_Quantity,Discount_Applied,Unit_Price,Unit_Cost
SO - 000156,6/6/2018,WARE-NMK1003,3,148,24,32,33,8,0.075,1112.20,756.30
SO - 000157,6/6/2018,WARE-NMK1003,2,103,19,28,45,8,0.05,3557.70,1814.43
SO - 000158,6/6/2018,WARE-NBV1002,2,59,13,8,45,3,0.4,2371.80,1233.34
SO - 000159,6/6/2018,WARE-NBV1002,2,60,14,47,1,1,0.4,857.60,686.08
SO - 000160,6/7/2018,WARE-UHY1004,1,238,11,33,20,5,0.3,3892.70,2880.60
SO - 000161,6/7/2018,WARE-NMK1003,1,151,3,26,21,6,0.075,3477.30,1390.92
SO - 000162,6/7/2018,WARE-NMK1003,2,152,13,20,44,5,0.1,3738.60,2803.95
SO - 000163,6/7/2018,WARE-PUJ1005,2,262,20,6,8,5,0.3,1072.00,589.60
SO - 000164,6/7/2018,WARE-NMK1003,1,120,5,40,46,7,0.05,2257.90,1761.16
SO - 000165,6/7/2018,WARE-UHY1004,2,233,18,23,46,3,0.1,1058.60,751.61
SO - 000166,6/7/2018,WARE-NBV1002,2,77,13,38,39,4,0.1,2492.40,1296.05
SO - 000167,6/7/2018,WARE-NBV1002,1,69,4,30,11,5,0.05,3852.50,2465.60
SO - 000168,6/8/2018,WARE-UHY1004,3,215,23,42,37,8,0.05,241.20,132.66
SO - 000169,6/8/2018,WARE-XYS1001,1,30,9,1,35,2,0.15,1051.90,494.39
SO - 000170,6/8/2018,WARE-NMK1003,3,169,25,11,10,5,0.3,227.80,107.07
SO - 000171,6/8/2018,WARE-MKL1006,3,333,24,4,14,5,0.05,1078.70,506.99
SO - 000172,6/8/2018,WARE-NMK1003,4,96,28,6,10,8,0.15,1005.00,743.70
SO - 000173,6/8/2018,WARE-PUJ1005,3,289,24,17,45,5,0.05,2485.70,1317.42
SO - 000174,6/8/2018,WARE-NMK1003,1,140,3,7,22,3,0.05,2659.90,2154.52
SO - 000175,6/9/2018,WARE-NMK1003,1,107,1,1,1,1,0.075,2224.40,1579.32
SO - 000176,6/9/2018,WARE-MKL1006,1,338,11,27,35,7,0.2,2472.30,1260.87
SO - 000177,6/9/2018,WARE-UHY1004,1,232,5,33,15,5,0.05,1011.70,799.24
SO - 000178,6/9/2018,WARE-UHY1004,4,231,26,28,28,6,0.2,234.50,128.98
SO - 000179,6/9/2018,WARE-NMK1003,2,158,13,42,11,4,0.075,261.30,143.72
SO - 000180,6/9/2018,WARE-XYS1001,2,36,18,5,29,7,0.1,4006.60,2844.69
SO - 000181,6/9/2018,WARE-UHY1004,1,206,3,10,28,7,0.05,1333.30,866.65
SO - 000182,6/10/2018,WARE-UHY1004,1,255,10,34,15,5,0.05,167.50,90.45
SO - 000183,6/10/2018,WARE-MKL1006,2,336,14,23,27,7,0.075,3195.90,1821.66
SO - 000184,6/10/2018,WARE-PUJ1005,2,307,20,18,15,1,0.05,1051.90,809.96
SO - 000185,6/10/2018,WARE-XYS1001,2,9,15,8,28,4,0.1,5447.10,3540.62
SO - 000186,6/10/2018,WARE-NMK1003,2,200,13,36,18,2,0.075,3182.50,1973.15
SO - 000187,6/11/2018,WARE-MKL1006,1,337,6,47,30,3,0.1,891.10,632.68
SO - 000188,6/11/2018,WARE-NMK1003,2,158,15,27,31,2,0.2,3892.70,2724.89
SO - 000189,6/11/2018,WARE-UHY1004,2,249,13,5,8,2,0.4,3953.00,3360.05
SO - 000190,6/11/2018,WARE-NMK1003,2,185,20,38,5,2,0.3,924.60,545.51
SO - 000191,6/11/2018,WARE-NMK1003,2,189,20,21,10,7,0.3,3430.40,1989.63
SO - 000192,6/11/2018,WARE-NMK1003,3,170,22,24,43,7,0.075,1152.40,622.30
SO - 000193,6/11/2018,WARE-NMK1003,3,130,21,25,37,4,0.1,1085.40,922.59
SO - 000194,6/12/2018,WARE-NMK1003,1,149,5,11,15,5,0.1,5031.70,4025.36
SO - 000195,6/12/2018,WARE-NMK1003,3,99,24,17,33,7,0.15,1092.10,436.84
SO - 000196,6/12/2018,WARE-XYS1001,4,21,27,5,17,7,0.05,187.60,144.45
SO - 000197,6/12/2018,WARE-NMK1003,2,90,18,30,1,4,0.05,3993.20,2835.17
SO - 000198,6/12/2018,WARE-MKL1006,2,360,14,9,15,5,0.05,2472.30,1433.93
SO - 000199,6/12/2018,WARE-XYS1001,1,23,4,47,47,4,0.05,1206.00,844.20
SO - 000200,6/12/2018,WARE-NMK1003,2,144,20,5,40,5,0.05,1728.60,985.30
SO - 000201,6/12/2018,WARE-NMK1003,4,134,28,23,23,7,0.075,1983.20,1447.74
SO - 000202,6/12/2018,WARE-NMK1003,2,180,20,14,11,2,0.2,5313.10,2656.55
SO - 000203,6/12/2018,WARE-XYS1001,3,58,20,44,23,5,0.075,871.00,566.15
SO - 000204,6/13/2018,WARE-NMK1003,2,175,12,38,43,2,0.1,2532.60,2051.41
SO - 000205,6/13/2018,WARE-NMK1003,2,95,14,14,1,4,0.075,5916.10,4673.72
SO - 000206,6/13/2018,WARE-UHY1004,2,231,13,34,31,1,0.075,2887.70,1443.85
SO - 000207,6/13/2018,WARE-NMK1003,1,199,1,13,11,7,0.1,1855.90,1447.60
SO - 000208,6/13/2018,WARE-XYS1001,1,58,2,5,39,5,0.1,207.70,135.01
SO - 000209,6/13/2018,WARE-MKL1006,1,345,2,2,3,3,0.05,1058.60,772.78
SO - 000210,6/13/2018,WARE-UHY1004,2,241,13,17,20,7,0.1,958.10,517.37
SO - 000211,6/13/2018,WARE-NMK1003,1,186,6,40,27,7,0.2,2659.90,1675.74
SO - 000212,6/13/2018,WARE-NMK1003,1,144,7,15,8,3,0.1,2217.70,1707.63
SO - 000213,6/14/2018,WARE-XYS1001,2,40,20,12,11,1,0.3,1715.20,857.60
SO - 000214,6/14/2018,WARE-PUJ1005,1,288,6,25,32,7,0.15,3932.90,1691.15
SO - 000215,6/14/2018,WARE-NMK1003,1,169,2,13,40,2,0.05,2546.00,1909.50
SO - 000216,6/14/2018,WARE-PUJ1005,2,277,15,18,21,1,0.075,837.50,603.00
SO - 000217,6/14/2018,WARE-UHY1004,2,219,16,3,12,3,0.15,1809.00,1302.48
SO - 000218,6/14/2018,WARE-PUJ1005,4,306,26,25,11,8,0.075,857.60,514.56
SO - 000219,6/14/2018,WARE-XYS1001,1,7,8,11,22,6,0.05,1748.70,1101.68
SO - 000220,6/14/2018,WARE-NBV1002,4,78,28,44,4,1,0.075,1266.30,582.50
SO - 000221,6/14/2018,WARE-XYS1001,1,28,3,30,9,5,0.1,5058.50,3591.54
SO - 000222,6/14/2018,WARE-XYS1001,3,39,22,38,6,7,0.05,958.10,795.22
SO - 000223,6/14/2018,WARE-NMK1003,2,122,19,47,2,8,0.15,1802.30,756.97
SO - 000224,6/15/2018,WARE-XYS1001,1,48,4,17,32,4,0.075,6298.00,4534.56
SO - 000225,6/15/2018,WARE-XYS1001,2,1,18,28,30,1,0.1,2499.10,1824.34
SO - 000226,6/15/2018,WARE-NMK1003,1,198,8,5,23,3,0.1,871.00,705.51
SO - 000227,6/15/2018,WARE-UHY1004,1,242,1,32,5,1,0.05,750.40,360.19
SO - 000228,6/15/2018,WARE-NMK1003,4,200,27,21,14,8,0.075,763.80,504.11
SO - 000229,6/15/2018,WARE-PUJ1005,1,304,5,49,25,6,0.1,844.20,565.61
SO - 000230,6/15/2018,WARE-XYS1001,1,31,2,6,27,7,0.05,261.30,112.36
SO - 000231,6/15/2018,WARE-NBV1002,2,71,19,47,33,2,0.05,3999.90,2359.94
SO - 000232,6/15/2018,WARE-UHY1004,1,250,4,32,18,6,0.05,1112.20,811.91
SO - 000233,6/15/2018,WARE-NMK1003,1,167,10,18,2,2,0.075,2633.10,1843.17
SO - 000234,6/15/2018,WARE-NMK1003,3,132,22,8,4,6,0.2,1018.40,631.41
SO - 000235,6/15/2018,WARE-XYS1001,1,56,1,24,21,4,0.15,5219.30,3444.74
SO - 000236,6/15/2018,WARE-UHY1004,3,259,21,11,26,1,0.15,3999.90,2359.94
SO - 000237,6/16/2018,WARE-MKL1006,2,341,20,50,25,5,0.4,1721.90,1084.80
SO - 000238,6/16/2018,WARE-NMK1003,1,195,10,7,37,6,0.15,737.00,456.94
SO - 000239,6/16/2018,WARE-XYS1001,2,33,19,2,40,3,0.05,1219.40,695.06
SO - 000240,6/16/2018,WARE-PUJ1005,1,279,2,18,41,8,0.05,891.10,712.88
SO - 000241,6/16/2018,WARE-NMK1003,1,148,7,28,9,1,0.15,978.20,743.43
SO - 000242,6/16/2018,WARE-NMK1003,1,170,11,47,17,1,0.15,3946.30,1657.45
SO - 000243,6/16/2018,WARE-NMK1003,1,181,3,27,38,2,0.4,1299.80,922.86
SO - 000244,6/17/2018,WARE-NBV1002,2,77,19,21,12,4,0.05,5815.60,2791.49
SO - 000245,6/17/2018,WARE-NMK1003,1,122,3,43,23,6,0.15,1092.10,655.26
SO - 000246,6/17/2018,WARE-XYS1001,3,36,24,42,18,6,0.15,1072.00,643.20
SO - 000247,6/17/2018,WARE-UHY1004,2,217,17,34,16,5,0.05,4020.00,2653.20
SO - 000248,6/17/2018,WARE-NBV1002,2,63,20,37,12,4,0.15,984.90,669.73
SO - 000249,6/17/2018,WARE-MKL1006,3,341,21,50,7,7,0.05,227.80,100.23
SO - 000250,6/17/2018,WARE-XYS1001,1,36,3,17,35,3,0.15,3993.20,3314.36
SO - 000251,6/17/2018,WARE-NMK1003,2,163,12,25,26,4,0.075,221.10,185.72
SO - 000252,6/18/2018,WARE-NMK1003,2,101,12,21,43,6,0.075,3356.70,2819.63
SO - 000253,6/18/2018,WARE-PUJ1005,1,321,1,35,12,1,0.05,1701.80,1157.22
SO - 000254,6/18/2018,WARE-PUJ1005,1,276,3,9,8,3,0.15,2566.10,2181.19
SO - 000255,6/18/2018,WARE-NMK1003,1,101,6,22,5,4,0.05,221.10,126.03
SO - 000256,6/18/2018,WARE-UHY1004,1,248,5,28,4,1,0.1,1782.20,980.21
SO - 000257,6/18/2018,WARE-NMK1003,3,95,24,41,35,8,0.05,2003.30,801.32
SO - 000258,6/18/2018,WARE-XYS1001,3,33,20,28,5,5,0.075,2385.20,1502.68
SO - 000259,6/18/2018,WARE-XYS1001,2,12,13,22,21,1,0.1,2231.10,1784.88
SO - 000260,6/18/2018,WARE-NMK1003,1,119,10,26,35,1,0.05,1005.00,412.05
SO - 000261,6/18/2018,WARE-PUJ1005,3,290,23,12,40,7,0.05,2693.40,1939.25
SO - 000262,6/18/2018,WARE-NMK1003,2,110,17,31,36,4,0.075,1105.50,652.25
SO - 000263,6/19/2018,WARE-NBV1002,2,87,17,25,39,1,0.075,1909.50,1088.42
SO - 000264,6/19/2018,WARE-NMK1003,3,177,21,35,38,7,0.2,1118.90,850.36
SO - 000265,6/19/2018,WARE-NMK1003,1,94,11,45,8,7,0.2,1038.50,758.11
SO - 000266,6/19/2018,WARE-NMK1003,1,126,1,19,19,6,0.05,6324.80,4300.86
SO - 000267,6/19/2018,WARE-XYS1001,1,17,3,16,9,7,0.2,1005.00,502.50
SO - 000268,6/19/2018,WARE-NMK1003,1,178,3,15,2,5,0.075,1293.10,659.48
SO - 000269,6/19/2018,WARE-NBV1002,1,76,1,8,36,6,0.4,844.20,540.29
SO - 000270,6/19/2018,WARE-PUJ1005,1,318,6,27,1,4,0.05,247.90,195.84
SO - 000271,6/19/2018,WARE-UHY1004,3,217,21,12,21,7,0.3,174.20,139.36
SO - 000272,6/20/2018,WARE-PUJ1005,1,278,2,30,12,6,0.1,1025.10,707.32
SO - 000273,6/20/2018,WARE-MKL1006,3,341,21,19,23,3,0.15,3068.60,2301.45
SO - 000274,6/20/2018,WARE-NMK1003,2,122,16,44,3,2,0.075,241.20,115.78
SO - 000275,6/20/2018,WARE-NMK1003,1,200,11,24,47,1,0.2,174.20,139.36
SO - 000276,6/20/2018,WARE-XYS1001,1,30,3,10,37,2,0.2,2505.80,1804.18
SO - 000277,6/20/2018,WARE-UHY1004,3,233,25,35,31,7,0.15,2599.60,1637.75
SO - 000278,6/20/2018,WARE-NMK1003,2,151,18,38,28,6,0.15,2278.00,1503.48
SO - 000279,6/21/2018,WARE-MKL1006,3,353,24,31,25,2,0.075,1092.10,589.73
SO - 000280,6/21/2018,WARE-XYS1001,4,43,25,40,7,5,0.2,1139.00,933.98
SO - 000281,6/21/2018,WARE-MKL1006,1,339,4,9,47,2,0.15,1675.00,1072.00
SO - 000282,6/21/2018,WARE-UHY1004,4,228,26,41,26,2,0.05,1011.70,687.96
SO - 000283,6/21/2018,WARE-NMK1003,4,128,27,11,46,7,0.1,938.00,412.72
SO - 000284,6/21/2018,WARE-XYS1001,4,55,28,48,2,8,0.05,2566.10,1052.10
SO - 000285,6/22/2018,WARE-NMK1003,3,177,24,4,33,5,0.1,871.00,374.53
SO - 000286,6/22/2018,WARE-NBV1002,1,81,2,4,18,1,0.1,2485.70,1789.70
SO - 000287,6/22/2018,WARE-MKL1006,1,365,1,40,41,4,0.4,2345.00,1922.90
SO - 000288,6/22/2018,WARE-XYS1001,2,48,15,19,27,2,0.05,1118.90,749.66
SO - 000289,6/22/2018,WARE-XYS1001,1,11,11,24,42,4,0.1,1996.60,1397.62
SO - 000290,6/22/2018,WARE-NMK1003,1,127,11,6,39,1,0.075,710.20,390.61
SO - 000291,6/22/2018,WARE-NMK1003,2,201,13,6,35,4,0.05,3979.80,1790.91
SO - 000292,6/22/2018,WARE-MKL1006,1,339,8,9,28,3,0.075,1025.10,440.79
SO - 000293,6/22/2018,WARE-NMK1003,1,198,3,3,9,7,0.2,2519.20,1309.98
SO - 000294,6/22/2018,WARE-NMK1003,2,150,15,36,2,7,0.05,5031.70,3471.87
SO - 000295,6/23/2018,WARE-PUJ1005,2,311,19,27,46,1,0.1,1829.10,768.22
SO - 000296,6/23/2018,WARE-PUJ1005,1,304,5,29,25,5,0.075,1072.00,900.48
SO - 000297,6/23/2018,WARE-UHY1004,1,247,5,11,32,1,0.2,2539.30,1828.30
SO - 000298,6/23/2018,WARE-PUJ1005,1,265,11,24,41,1,0.075,3899.40,2027.69
SO - 000299,6/24/2018,WARE-MKL1006,1,366,5,38,37,3,0.2,5045.10,3380.22
SO - 000300,6/24/2018,WARE-NMK1003,2,125,19,38,14,8,0.05,1005.00,522.60
SO - 000301,6/24/2018,WARE-NMK1003,4,182,27,20,47,7,0.1,2438.80,1219.40
SO - 000302,6/25/2018,WARE-NMK1003,1,152,11,46,24,4,0.3,3336.60,2035.33
SO - 000303,6/25/2018,WARE-UHY1004,1,256,1,38,25,4,0.15,1098.80,857.06
SO - 000304,6/25/2018,WARE-NBV1002,2,66,19,5,20,2,0.075,1902.80,970.43
SO - 000305,6/25/2018,WARE-NMK1003,2,156,17,32,33,4,0.075,3477.30,2190.70
SO - 000306,6/26/2018,WARE-NMK1003,4,200,26,36,10,1,0.1,2599.60,1481.77
SO - 000307,6/26/2018,WARE-PUJ1005,2,299,12,1,7,1,0.075,1078.70,506.99
SO - 000308,6/26/2018,WARE-NMK1003,2,199,17,22,31,5,0.2,1045.20,533.05
SO - 000309,6/26/2018,WARE-NMK1003,2,157,15,21,1,2,0.05,1125.60,787.92
SO - 000310,6/26/2018,WARE-NMK1003,1,187,1,14,22,8,0.05,1105.50,762.80
SO - 000311,6/26/2018,WARE-NBV1002,2,84,18,50,46,1,0.1,2606.30,1668.03
SO - 000312,6/26/2018,WARE-UHY1004,3,228,22,41,25,8,0.075,227.80,95.68
SO - 000313,6/26/2018,WARE-NMK1003,3,180,22,35,29,7,0.05,167.50,123.95
SO - 000314,6/26/2018,WARE-UHY1004,1,250,7,21,16,3,0.1,1145.70,538.48
SO - 000315,6/26/2018,WARE-PUJ1005,1,326,4,37,36,7,0.075,2599.60,2157.67
SO - 000316,6/27/2018,WARE-NMK1003,3,136,24,14,18,1,0.05,3939.60,1969.80
SO - 000317,6/27/2018,WARE-NMK1003,1,112,2,18,37,8,0.075,2881.00,1584.55
SO - 000318,6/27/2018,WARE-NMK1003,1,108,3,22,43,2,0.05,3852.50,2003.30
SO - 000319,6/27/2018,WARE-XYS1001,4,56,27,48,42,2,0.05,1139.00,546.72
SO - 000320,6/27/2018,WARE-NMK1003,3,195,23,7,25,4,0.05,2519.20,2040.55
SO - 000321,6/27/2018,WARE-NBV1002,1,82,9,33,42,1,0.15,1192.60,703.63
SO - 000322,6/27/2018,WARE-UHY1004,1,215,5,18,14,5,0.075,2412.00,1013.04
SO - 000323,6/27/2018,WARE-NMK1003,1,134,9,6,47,7,0.05,2479.00,2057.57
SO - 000324,6/27/2018,WARE-PUJ1005,4,322,26,10,35,7,0.1,1956.40,1330.35
SO - 000325,6/27/2018,WARE-NMK1003,2,176,15,4,42,5,0.3,1078.70,722.73
SO - 000326,6/27/2018,WARE-NBV1002,1,70,6,22,26,1,0.075,1212.70,945.91
SO - 000327,6/27/2018,WARE-UHY1004,2,252,18,48,29,5,0.075,978.20,821.69
SO - 000328,6/27/2018,WARE-PUJ1005,1,275,4,28,45,3,0.05,174.20,120.20
SO - 000329,6/27/2018,WARE-UHY1004,2,226,19,25,17,3,0.15,1125.60,630.34
SO - 000330,6/28/2018,WARE-PUJ1005,2,288,20,49,6,6,0.15,1065.30,468.73
SO - 000331,6/28/2018,WARE-NBV1002,2,60,15,11,12,5,0.075,3892.70,2724.89
SO - 000332,6/28/2018,WARE-PUJ1005,2,297,17,19,9,2,0.3,207.70,120.47
SO - 000333,6/28/2018,WARE-NBV1002,1,75,3,20,23,7,0.3,1185.90,948.72
SO - 000334,6/28/2018,WARE-MKL1006,1,352,10,15,18,2,0.15,2586.20,1629.31
SO - 000335,6/28/2018,WARE-XYS1001,1,25,8,26,30,4,0.3,2579.50,1960.42
SO - 000336,6/28/2018,WARE-XYS1001,2,23,16,7,36,8,0.075,6378.40,2806.50
SO - 000337,6/28/2018,WARE-PUJ1005,3,292,24,26,31,7,0.2,3008.30,2226.14
SO - 000338,6/28/2018,WARE-NMK1003,1,140,11,49,20,3,0.075,1755.40,930.36
SO - 000339,6/28/2018,WARE-NMK1003,2,171,13,28,14,8,0.075,1139.00,740.35
SO - 000340,6/28/2018,WARE-XYS1001,1,44,11,46,38,5,0.075,6157.30,4556.40
SO - 000341,6/28/2018,WARE-XYS1001,2,43,18,33,40,7,0.1,2231.10,1093.24
SO - 000342,6/28/2018,WARE-NBV1002,1,64,11,23,8,7,0.1,2479.00,1859.25
SO - 000343,6/29/2018,WARE-XYS1001,3,18,21,35,10,4,0.05,6391.80,4793.85
SO - 000344,6/29/2018,WARE-PUJ1005,4,263,27,4,39,2,0.05,1139.00,660.62
SO - 000345,6/29/2018,WARE-NMK1003,2,196,20,38,36,3,0.1,2586.20,1681.03
SO - 000346,6/29/2018,WARE-UHY1004,1,206,1,36,35,4,0.05,3899.40,1871.71
SO - 000347,6/29/2018,WARE-NBV1002,1,80,8,25,43,8,0.05,951.40,599.38
SO - 000348,6/30/2018,WARE-NMK1003,1,172,4,8,38,1,0.05,5607.90,3476.90
SO - 000349,6/30/2018,WARE-PUJ1005,1,274,6,12,37,2,0.075,1165.80,827.72
SO - 000350,6/30/2018,WARE-PUJ1005,2,277,16,17,44,2,0.05,1949.70,1520.77
SO - 000351,6/30/2018,WARE-NMK1003,3,147,21,40,34,8,0.1,3685.00,2690.05
SO - 000352,6/30/2018,WARE-MKL1006,3,332,20,3,17,2,0.4,2633.10,1816.84
SO - 000353,6/30/2018,WARE-PUJ1005,2,274,19,26,23,1,0.075,1072.00,460.96
SO - 000354,6/30/2018,WARE-XYS1001,1,33,1,38,8,1,0.075,3537.60,1910.30
SO - 000355,6/30/2018,WARE-UHY1004,1,233,9,41,13,8,0.2,1092.10,622.50
SO - 000356,6/30/2018,WARE-PUJ1005,1,262,12,17,5,4,0.05,1748.70,1136.66
SO - 000357,6/30/2018,WARE-XYS1001,2,6,18,49,9,8,0.075,891.10,739.61
SO - 000358,6/30/2018,WARE-NMK1003,1,159,2,41,23,5,0.05,3082.00,1510.18
SO - 000359,6/30/2018,WARE-NMK1003,1,148,9,34,15,5,0.075,1125.60,776.66
SO - 000360,6/30/2018,WARE-NMK1003,1,102,7,46,22,6,0.075,1252.90,651.51
SO - 000361,7/1/2018,WARE-MKL1006,4,362,28,44,45,1,0.075,837.50,527.63
SO - 000362,7/1/2018,WARE-PUJ1005,4,295,25,21,40,1,0.075,1031.80,773.85
SO - 000363,7/1/2018,WARE-UHY1004,2,256,14,7,28,4,0.15,2385.20,1454.97
SO - 000364,7/1/2018,WARE-NMK1003,1,154,1,48,30,2,0.05,1802.30,1153.47
SO - 000365,7/1/2018,WARE-PUJ1005,4,270,26,40,27,5,0.05,1018.40,753.62
SO - 000366,7/1/2018,WARE-NMK1003,2,102,13,35,40,7,0.4,3946.30,1815.30
SO - 000367,7/1/2018,WARE-NMK1003,1,131,9,21,15,7,0.2,3953.00,2095.09
SO - 000368,7/2/2018,WARE-NMK1003,1,160,11,1,33,6,0.075,5098.70,3416.13
SO - 000369,7/2/2018,WARE-MKL1006,2,347,15,9,5,8,0.075,3758.70,1954.52
SO - 000370,7/2/2018,WARE-XYS1001,3,45,24,9,18,7,0.15,911.20,610.50
SO - 000371,7/2/2018,WARE-UHY1004,3,238,21,26,22,3,0.4,904.50,379.89
SO - 000372,7/2/2018,WARE-NMK1003,2,128,18,21,5,3,0.05,911.20,410.04
SO - 000373,7/2/2018,WARE-XYS1001,2,39,19,6,21,5,0.3,227.80,134.40
SO - 000374,7/2/2018,WARE-NBV1002,1,69,3,14,40,4,0.075,254.60,117.12
SO - 000375,7/2/2018,WARE-XYS1001,4,29,27,33,35,3,0.075,683.40,444.21
SO - 000376,7/3/2018,WARE-NMK1003,1,159,4,43,20,7,0.05,3919.50,2234.12
SO - 000377,7/3/2018,WARE-MKL1006,4,353,26,25,12,8,0.05,1092.10,786.31
SO - 000378,7/4/2018,WARE-NMK1003,1,199,4,10,20,4,0.05,924.60,536.27
SO - 000379,7/4/2018,WARE-NMK1003,2,182,17,45,22,8,0.05,1018.40,794.35
